OBJECTID,lattitude,longitude,lat&long
2641,23.80097963,90.37390364,"'23.80097963,90.37390364'"
2642,23.80097963,90.37570564,"'23.80097963,90.37570564'"
2643,23.80097963,90.37750764,"'23.80097963,90.37750764'"
2644,23.80097963,90.37930964,"'23.80097963,90.37930964'"
2645,23.80097963,90.38111164,"'23.80097963,90.38111164'"
2646,23.80097963,90.38291364,"'23.80097963,90.38291364'"
2647,23.80097963,90.38471564,"'23.80097963,90.38471564'"
2648,23.80097963,90.38651764,"'23.80097963,90.38651764'"
2649,23.80097963,90.38831964,"'23.80097963,90.38831964'"
2650,23.80097963,90.39012164,"'23.80097963,90.39012164'"
2651,23.80097963,90.39192364,"'23.80097963,90.39192364'"
2652,23.80097963,90.39372564,"'23.80097963,90.39372564'"
2653,23.80097963,90.39552764,"'23.80097963,90.39552764'"
2654,23.80097963,90.39732964,"'23.80097963,90.39732964'"
2655,23.80097963,90.39913164,"'23.80097963,90.39913164'"
2656,23.80097963,90.40093364,"'23.80097963,90.40093364'"
2657,23.80097963,90.40273564,"'23.80097963,90.40273564'"
2658,23.80097963,90.40453764,"'23.80097963,90.40453764'"
2659,23.80097963,90.40633964,"'23.80097963,90.40633964'"
2660,23.80097963,90.40814164,"'23.80097963,90.40814164'"
2661,23.80097963,90.40994364,"'23.80097963,90.40994364'"
2662,23.80097963,90.41174564,"'23.80097963,90.41174564'"
2663,23.80097963,90.41354764,"'23.80097963,90.41354764'"
2664,23.80097963,90.41534964,"'23.80097963,90.41534964'"
2665,23.80097963,90.41715164,"'23.80097963,90.41715164'"
2666,23.80097963,90.41895364,"'23.80097963,90.41895364'"
2667,23.80097963,90.42075564,"'23.80097963,90.42075564'"
2668,23.80097963,90.42255764,"'23.80097963,90.42255764'"
2669,23.80278163,90.34326964,"'23.80278163,90.34326964'"
2670,23.80278163,90.34507164,"'23.80278163,90.34507164'"
2671,23.80278163,90.34687364,"'23.80278163,90.34687364'"
2672,23.80278163,90.34867564,"'23.80278163,90.34867564'"
2673,23.80278163,90.35047764,"'23.80278163,90.35047764'"
2674,23.80278163,90.35227964,"'23.80278163,90.35227964'"
2675,23.80278163,90.35408164,"'23.80278163,90.35408164'"
2676,23.80278163,90.35588364,"'23.80278163,90.35588364'"
2677,23.80278163,90.35768564,"'23.80278163,90.35768564'"
2678,23.80278163,90.35948764,"'23.80278163,90.35948764'"
2679,23.80278163,90.36128964,"'23.80278163,90.36128964'"
2680,23.80278163,90.36309164,"'23.80278163,90.36309164'"
